Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords 
People of Palestine,Andrew Forbes,Ebook,USD 7.99,"In 2011 US Republican Senator Rick Santorum stated: ‘The people that live in the West Bank are Israelis. They are not Palestinians. There is no Palestinian’. This was echoed by another Republican Senator, Newt Gingrich, who claimed: ‘I think we have had an invented Palestinian people who are in fact Arabs’.

Such statements are symptomatic of both ignorance and racism and deserve to be treated with the same disdain as Holocaust denial.

Of course there are Palestinian people, just as there is a nascent Palestinian state. But for those who continue seriously to doubt the present demographic evidence, or perhaps the written word, there remains an indisputable third source of proof - pictures of Palestine and its people, taken between the mid 19th century and the end of the British Mandate in 1948.

A collection of century-old pictures of the people of Historic Palestine including Muslims, Christians, Jews, Samaritans and others, together with an informative text.",2012,English,9781300468561,History,All Rights Reserved - Standard Copyright License,"By (author): Andrew Forbes, By (author): David Henley",,,,,EPUB,"['Palestine', 'Palestinian', 'Middle East', 'Holy Land', 'Muslim', 'Christian', 'Jew', 'Jewish', 'Samaritan', 'Israel', 'Israeli', 'Religion', 'Armenian', 'Greek', 'Druze', 'Bedouin', 'Arab', 'Cognoscenti Books', 'Jerusalem', 'West Bank', 'Gaza', 'Demographics', 'Rick Santorum', 'Newt Gingrich']"
Torah Portions - Noach (Paperback),Our Torah Studies,Paperback,USD 14.99,"Torah Portions are designed to help you read and learn the Word of God in a systematic manner. With scheduled reading times, Torah Portions will help you feel closer to the Land of Israel. All over the world, people are reading Torah Portions in a variety of ways. It is believed that at least 80%% of the New Testament is based upon the Old Testament. The harmony of the two testaments is incredibly accurate. These individual Torah Portions include… 1)The Modeh Ani – Which is ""I give thanks,"" the first words of the prayer Jewish prayer that observant Jews recite daily upon waking, while still in bed. 2)The Shemoneh Esrei Amidah also called the Standing Prayer recited 3 times per day in most Jewish Synagogues. It includes 18/19 Blessings that you CAN apply to your personal prayer life. 3)Torah Portions Reading List. This paperback option gives you the ability to make notations that can be reviewed from year to year.",2012,English,9781300322450,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Our Torah Studies,55,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['torah portion', 'genesis', 'prophets', 'modeh ani', 'prayer', 'Shemoneh Esrei Amidah', 'noah']"
Composite Bible: Revelation,Gary Rose,Ebook,USD 5.99,"The Composite Bible is an effort to understand what God has said, in the order it was presented.  Jew and Christians of the first century would know the Bible as The Law, The Prophets and The Psalms.  Within these three groupings, the order of the books were placed in the order of importance; those of greater importance were placed first.  In the New Testament, the letters written to the Jews (the general or catholic epistles) were placed first and those to the gentiles afterward. 

Today, there are many easy-to-read Bible versions, but their shortcoming is that they take great liberty with text translation.  The very literal Bible versions are more accurate, but  more difficult to read. My solution to this problem is to use a relatively easy-to-read version and compare it to a more difficult one and then to a still more difficult one.  The overall understanding (a composite one) leads the reader to further study and comprehension of what the text says.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Gary Rose,,,,,PDF,"['Bible', 'Comparison', 'Understanding']"
Composite Bible: The Prophets,Gary Rose,Ebook,USD 5.99,"The Composite Bible is an effort to understand what God has said, in the order it was presented.  Jew and Christians of the first century would know the Bible as The Law, The Prophets and The Psalms.  Within these three groupings, the order of the books were placed in the order of importance; those of greater importance were placed first.  In the New Testament, the letters written to the Jews (the general or catholic epistles) were placed first and those to the gentiles afterward. 

Today, there are many easy-to-read Bible versions, but their shortcoming is that they take great liberty with text translation.  The very literal Bible versions are more accurate, but  more difficult to read. My solution to this problem is to use a relatively easy-to-read version and compare it to a more difficult one and then to a still more difficult one.  The overall understanding (a composite one) leads the reader to further study and comprehension of what the text says.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Gary Rose,,,,,PDF,"['Bible', 'Comparison', 'Understanding']"
Composite Bible: Gospels,Gary Rose,Ebook,USD 5.99,"The Composite Bible is an effort to understand what God has said, in the order it was presented.  Jew and Christians of the first century would know the Bible as The Law, The Prophets and The Psalms.  Within these three groupings, the order of the books were placed in the order of importance; those of greater importance were placed first.  In the New Testament, the letters written to the Jews (the general or catholic epistles) were placed first and those to the gentiles afterward. 

Today, there are many easy-to-read Bible versions, but their shortcoming is that they take great liberty with text translation.  The very literal Bible versions are more accurate, but  more difficult to read. My solution to this problem is to use a relatively easy-to-read version and compare it to a more difficult one and then to a still more difficult one.  The overall understanding (a composite one) leads the reader to further study and comprehension of what the text says.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Gary Rose,,,,,PDF,"['Bible', 'Comparison', 'Understanding']"
The World of Saint Paul,John Fetler,Ebook,USD 5.44,"The book deals with Paul's personality, with the major events of his time, and with his contacts with important people of the Roman Empire, such as the Roman officials in Palestine, Governor Gallio in Corinth, the philosopher Seneca, and with the Emperor Nero. The narrative, designed for the general reader, presents Paul not as a distant saint on a pedestal, but, realistically and appreciatively, as a vital and seminal personality. The book incorporates the opinions of various schools but also debunks some legends and long-held textbook views. Rome is shown as a ruthless modern totalitarian state. The Jews are shown as a surprisingly major and popular minority in the Empire until the Revolt in Jerusalem changed their fate. Paul's influence is seen in a novel way: not spreading the faith among the lower classes, but preaching to well-educated Gentiles who attended the Jewish synagogues and were well acquainted with Judaism; these Gentiles, in turn, radiated the new Christian faith into pagan society.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): John Fetler,,,,,PDF,"['Religion', 'Spirituality', 'Christianity']"
AMERICA-2151!,Melvin Fechter,Paperback,USD 15.99,"AMERICA—2151! is a tale 140 years into the future of America in days of unemployment, destitution, and violence.  In it the Reverend John Sand Forrester, the charismatic founder of a new Christian faith, promises peace, love, and reconciliation but rallies 100,000,000 to his new “One True Faith” with the guarantee of salvation only for his followers.  All others are destined for hell or purgatory.  He seeks to return America to prosperity by amending the First Amendment to declare America a Christian nation, excising its immorality, and driving all non-Christians from the land.  Jews must go first because they are murderers of the Lord, but ultimately all must go who are not of his new faith, the Brotherhood of Jesus Christ.  Forrester’s daughter Susan falls in love with a young Jewish geneticist whose experiments are anathema to her father. The nation, too, in the time of the story has many Muslims...",2011,English,9781450776059,Fiction,All Rights Reserved - Standard Copyright License,By (author): Melvin Fechter,275,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['america', 'future', 'faith', 'religion', 'christian', 'jew', 'muslim', 'president', 'jihad', 'turbulent', 'tomorrow', 'sequel', 'watchword']"
Kosher Hooks,S.I. Fishgal,Ebook,USD 9.95,"1946-53, the XX century's ""Middle Ages"". AmeriKKKans arraign their kosher folk as the USSR's moles. SSoviets mirror that and might ship their Jews to starving, icy Siberian mini Zion named the Jewish Autonomous Region. 
  Kissing rumps is better than tasting their fruits, the Soviet life teaches Roma, 13. The police summon his dad, jail the brass and friends. Some commit suicide. The boy is ripe for his show-trial too. In that bedlam, girls pour their hearts to him. Yet, he plans to swim to Turkey.
  Fishgal's PIDDLER ON THE HOOF shows Roma's childhood. MEIN KRAMPF does his fiery, forbidden love to a Russian coach, 22, later.
  As a gentleman, he made his intriguing, truthful books independent. His horse sense, crisp and funny language, topsy-turvy idioms and plays of words are striking.
  NOTE. Internet has idiotic machine translations of the title. Therefore, Kosher=Jewish, hook=nose, Kosher Hook = Yid, Kike, Zhid and ""Jewish Question"" (in Marx’s liberation, Hitler’s slaughter, Stalin’s exile, etc.)",2010,English,9781300726104,Fiction,All Rights Reserved - Standard Copyright License,By (author): S.I. Fishgal,,,,,EPUB,"['Russia', 'dating', 'Turkey', 'fiction', 'Jew', 'Christian', 'fishing', 'history', 'health', 'flea market', 'sport', 'religion']"
MEIN KRAMPF,S.I. Fishgal,Paperback,USD 15.95,"Ukraine, 1952, ages ago, yet true. The girls still carry the heavy cross of the sexual innocence. A Russian girl, 22, rowing medalist and coach, fall in fiery, forbidden love with a cocky, witty boy, 14, listed as a Jew. Yet, he is above all that and plans to swim to Turkey if SSoviets try to ship the Jews to the starving, icy Siberian mini Zion named the Jewish Autonomous Region. The bedlam of arraigning the alleged Jewish moles of AmeriKKKans mirroring that in their country too crafts just a fading set in this truthful, intriguing book.
   S.I. Fishgal wanted to title MEIN KAMPF (My Struggle), but someone did that before. For ignoramuses in German, not you surely, krampf means cramp. His PIDDLER ON THE HOOF (PublishAmerica Inc.) and KOSHER HOOKS (Lulu) show the boy’s earlier years. As a gentleman, Fishgal made his books independent, with the horse sense, crisp and funny language, topsy-turvy idioms and plays of words.",2008,English,9780557031061,Fiction,All Rights Reserved - Standard Copyright License,By (author): S.I. Fishgal,242,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['romance', 'Russia', 'Ukraine', 'Turkey', 'religion', 'Jew', 'sport', 'health', 'dating', 'history', 'Jesus', 'Nigger']"
The World of Saint Paul,John Fetler,Paperback,USD 11.18,"The book deals with Paul's personality, with the major events of his time, and with his contacts with important people of the Roman Empire, such as the Roman officials in Palestine, Governor Gallio in Corinth, the philosopher Seneca, and with the Emperor Nero. The narrative, designed for the general reader, presents Paul not as a distant saint on a pedestal, but, realistically and appreciatively, as a vital and seminal personality. The book incorporates the opinions of various schools but also debunks some legends and long-held textbook views. Rome is shown as a ruthless modern totalitarian state. The Jews are shown as a surprisingly major and popular minority in the Empire until the Revolt in Jerusalem changed their fate. Paul's influence is seen in a novel way: not spreading the faith among the lower classes, but preaching to well-educated Gentiles who attended the Jewish synagogues and were well acquainted with Judaism; these Gentiles, in turn, radiated the new Christian faith into pagan society.",2006,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): John Fetler,334,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,[]
LEBENSWERT,Frank Luger,Paperback,USD 33.00,"""Lebenswert"" is 3 books in one; the already published and available ""Weltwesen"", ""Weltheil"", and ""Judenwelt"". The first book examined what's beyond the limits of the Universe, and discussed the nature, structure, function, and relevance of the Absolute. The second book is concerned with the human relevance of the Absolute, and that is cosmic morality, various optimal function 'mechanisms' under the common term optimal efficiency. Morality is discussed as a subset of Absolute Ethics, via cosmodynamics, the modus operandi of the Absolute. The third book is specifically concerned with the Jewish relevance of the Absolute, and it is suggested that Jews may still fulfill their original mission of becoming light unto the nations and serving God by teaching ethical monotheism and righteousness. With such assistance, Man can grow into Cosmic Man, attain moral maturity, and enter the Cosmic Era in peace and harmony with Nature.",2019,English,9780359807895,Fiction,All Rights Reserved - Standard Copyright License,By (author): Frank Luger,512,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Philosophy', 'Science', 'Religions', 'Cosmic Views']"
Xperimental Genocide,Essel Pratt,Hardcover,USD 34.52,"Racism. Hate. Delusion.   

Each is an integral ingredient in the recipe of genocide. Each was present during World War II. Imagine if Adolf Hitler were still alive today, hiding out in the one place no one would find him, dead center in the United States. Imagine he, and a small group of dedicated Nazis, discovered a way to resurrect one of the most iconic Jewish symbols of World War II, recreated through a sample of found DNA. Imagine if that person was to be used as a weapon to  begin an onslaught against the Jews.  

Xperimental Genocide delves into the ‘what ifs’ as Dr. Ackerman is tasked with summoning the hatred within a young girl that was born from the ashes of Hitler’s hatred for the Jewish people. Faced with the decision to follow orders or his own ethics, Dr. Ackerman finds himself deep in trenches of Hitler’s Xperimental Genocide",2019,English,9780359654949,Fiction,All Rights Reserved - Standard Copyright License,By (author): Essel Pratt,104,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['genocide and persecution', 'racism united states', 'anne frank abridged', 'hitlers last plot']"
"Illusionists, Elitists, and Shamans: An American Oligarchy",Ron De Torre,Hardcover,USD 43.61,"Picture the United States where the income gap equals the gap experienced before the Great Depression in the era of Robber Barons.  It is a country where national treasures are callously sold to developers.
In George Orwell’s nightmare novel, 1984, its New Speak says: War is Peace, Freedom is Slavery, Ignorance is strength.
In this America, thanks to labelers and spin doctors:
Common courtesy and respect is Political Correctness,
Protection of Constitutional rights is Big Government,
Hypocrisy and Paranoia disguise themselves as Patriotism,
Inconvenient Truth is Humanist Hysteria.
It is a country where homeless camps are reminiscent of the hobo camps of the 1930s.  It is a country where it is forbidden for federal agencies to use words objectionable to campaign contributors.  The FBI has been instructed to end investigations of white supremacists while any minority that dares protest injustice is demonized as the Jews and Poles were by Nazi Germany.",2018,English,9781387832910,Fiction,All Rights Reserved - Standard Copyright License,By (author): Ron De Torre,294,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Science fiction', 'alternate universe', 'politics', 'fake news', 'inconvenient truth', 'religion', 'philosophy', 'hypocricy', 'patriotism']"
Unkept Promises: The Unpunished Crime of Genocide,Dagmar Vermeer,Ebook,USD 2.50,"Civilians of many backgrounds, classes and ideologies have fallen victim to the crime of genocide: Jews, Muslims, Christians, Blacks, Whites, rich, poor, educated and illiterate etc. It is a crime that breaks through all barriers; ironically, it itself is not prejudice in who it targets. Transcending time, from the days of the crusaders to modern times we have witnessed this crime that remained nameless for so long. 
In modern times of international cooperation and the pledge for tolerance of all peoples, genocide still plays an active role. The words “never again” have been used on various occasions: amongst which, after the Holocaust, after Rwanda and after Srebrenica. These words however, have remained hollow promises. The lessons and promises after the Holocaust did not help the people of Cambodia; subsequently their legacy did not help those of Rwanda; as theirs is not helping Darfur and so on.",2011,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Dagmar Vermeer,,,,,PDF,"['genocide', 'rwanda', 'ethnic cleansing', 'United Nations', 'cambodia', 'human rights']"
Tried and True: A Study of James,Jacob Abshire,Paperback,USD 9.99,"""Count it all joy, my brothers, when you meet trials of various kinds,"" James writes to the Christian Jews scattered throughout the world, ""for you know that the testing of your faith produces steadfastness"" (Ja. 1:2-3).

All Christians face troubles in life. It is God's way of purifying His people and bringing them to spiritual maturity. At the same time, it alerts believers to the condition of their faith, be it true or false, alive or dead.

In this study of James, you will be guided through 13 lessons on trials. Each lesson contains thought-provoking questions, verse-by-verse expositions, and plenty of space for taking notes. Eleven of the lessons focus on the characteristics of true faith and are intended to encourage you to walk in righteousness. You may participate in this study with a group or use it for personal study.",2010,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Jacob Abshire,168,Paperback,Black & White,Digest (5.5 x 8.5 in / 140 x 216 mm),,"['bible study', 'bible', 'james', 'book of james', 'truth411', 't411.com', 'the gap chat']"
"Jesus, The Nazorean",Elaine Hilsenrath,Paperback,USD 19.00,"The object of this study is to brush away the cobwebs and dust of the ages and by a ""candid and rational inquiry"" to lift that veil of mystery that has been dropped, not by Providence, but by man, over the origins and nature of the original community of Jews led for a brief period by Jesus, the Nazorean. The forthcoming investigation, it is hoped, will provide a clearer picture and facilitate a better understanding of that group of people referred to by most historians and scholars as the Jewish-Christians of the primitive church in Jerusalem. Layed out is where Jesus was born, the story of his father, his role in the establishment of Christianity, his relationship with the Jewish community of his time and the identity of the biblical character known as Barabbas. Also layed  out is a new, “kaleidoscopic view” of how to interpret history.",2009,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Elaine Hilsenrath,288,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jesus', 'The Nazorean']"
How Did A Hebrew Like You Become An Enthusiast of Yeshua?,Rhett Vorster,Paperback,USD 20.00,"This book is my way of saying that Zola Levitt was the best employer I ever had: I say that now because, since my time at Zola's ministry as his worker, God the Son arranged my life in such a way that I no longer had to depend on earthly employers, allowing me to fully engage in my heavenly calling. The reason why I worked for Zola was because he ended up being one of the best teachers I ever knew. I felt it was time to resurrect a story which has been partially hidden for a long time. Zola is dead now, but he is dancing in heaven. That is a big reason why this book before you exists: it is my regenerated version of a publication which first came out the year that the world's population reached about 4 billion souls; it is my prayer that this novel reaches the seemingly fictitious 8 billion souls who live on earth today. What you see here is a slightly modernized rendition of how the Lord of hosts wins hearts through love - but it is not updated for the sake of sophistry; it is retouched in order to bring clarity by means of my calling in the Lord. And though Zola's book with the long title was first released long before the coronavirus religion now presented to us, I must say that this book I present to you now is, in part, a result of the unreasonableness of current events.",2022,English,N/A,Fiction,All Rights Reserved - Standard Copyright License,"By (author): Rhett Vorster, Cover design or artwork by: Rhett Vorster",103,Paperback,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,"['faith', 'hope', 'love', 'covenant', 'testament', 'Jews', 'Israel', 'Hebrews', 'God', 'Father', 'Son', 'Holy Ghost', 'Jesus', 'Lord', 'Christ', 'Messiah', 'testimony', 'America']"
Motherland: Notes of a Persecuted Director: A Memoir about Jewish Life in the Soviet Union,Natan Gimelfarb,Ebook,USD 7.99,"This autobiography walks you through the life of Natan Gimelfarb from birth at a small Jewish village in Ukraine to unusual career success to Soviet persecution triggered by antisemitism to eventual emigration to the United States.

You get a unique insight into Russian and Jewish life as you step through childhood, the Great Famine, the Great Purge, World War II, university years, work and family life, and everyday joys and challenges.

Part I covers Natan's life through hunger and war until graduation from the university.  Part II covers his career and fight with Soviet authorities.",2011,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Natan Gimelfarb,,,,,PDF,"['great famine', 'great purge', 'jews in war', 'russian jew', 'communist russia', 'soviet union', 'russian culture', 'anti-semitism', 'natan gimelfarb']"
Motherland: Notes of a Persecuted Director: A Memoir about Jewish Life in the Soviet Union,Natan Gimelfarb,Paperback,USD 17.99,"This autobiography walks you through the life of Natan Gimelfarb from birth at a small Jewish village in Ukraine to unusual career success to Soviet persecution triggered by antisemitism to eventual emigration to the United States.

You get a unique insight into Russian and Jewish life as you step through childhood, the Great Famine, the Great Purge, World War II, university years, work and family life, and everyday joys and challenges.

Part I covers Natan's life through hunger and war until graduation from the university.  Part II covers his career and fight with Soviet authorities.",2010,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Natan Gimelfarb,302,Paperback,Black & White,Digest (5.5 x 8.5 in / 140 x 216 mm),,"['great famine', 'great purge', 'jews in war', 'russian jew', 'communist russia', 'soviet union', 'russian culture', 'anti-semitism', 'natan gimelfarb']"
Ivanhoe,Walter Scott,Paperback,USD 23.72,"Ivanhoe: A Romance (/ˈaɪvənˌhoʊ/) is a historical novel by Sir Walter Scott, first published in late 1819 in three volumes. At the time it was written it represented a shift by Scott away from fairly realistic novels set in Scotland in the comparatively recent past, to a somewhat fanciful depiction of medieval England. It has proved to be one of the best known and most influential of Scott's novels.

Ivanhoe is set in 12th-century England with colourful descriptions of a tournament, outlaws, a witch trial and divisions between Jews and Christians. It has been credited for increasing interest in romance and medievalism; John Henry Newman claimed Scott ""had first turned men's minds in the direction of the Middle Ages"", while Thomas Carlyle and John Ruskin made similar assertions of Scott's overwhelming influence over the revival, based primarily on the publication of this novel. It has also had an important influence on popular perceptions of Richard the Lionheart, King John and Robin Hood.",2020,English,9781716784149,Fiction,No Known Copyright (Public Domain),By (author): Walter Scott,391,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Dispossession', 'Identity', 'Abuse of Power', 'Frustrated Love', 'Writing About History', 'Holding Out for a Hero', 'Idealized History', 'Religious Intolerance', 'Patriotism', ""Foreignness and 'The Other'"", 'Family', 'Principles', 'Justice and Judgment', 'Duty', 'Society and Class']"
ETHIOPIC VERSION OF BOOK OF JUBILEES 1859 AKA LIBER JUBILAEORUM AETHIOPICE MS,Dr. AUGUSTUS DILLMANN,Paperback,USD 19.90,"The Book of Jubilees, sometimes called Lesser or Little Genesis (Leptogenesis), is an ancient Jewish religious work of 50 chapters, considered canonical by the Ethiopian Orthodox Church as well as Beta Israel (Ethiopian Jews), where it is known as the Book of Division (Ge'ez: መጽሃፈ ኩፋሌ Mets'hafe Kufale). Jubilees is considered one of the pseudepigrapha by Protestant, Roman Catholic, and Eastern Orthodox Churches.[1] It is also not considered canonical within Judaism outside of Beta Israel.

The Book of Jubilees presents ""the history of the division of the days of the Law, of the events of the years, the year-weeks, and the jubilees of the world"" as revealed to Moses (in addition to the Torah or ""Instruction"") by angels while he was on Mount Sinai for forty days and forty nights. The chronology given in Jubilees is based on multiples of seven; the jubilees are periods of 49 years (seven ""year-weeks""), into which all of time has been divided.",2019,Amharic,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Dr. AUGUSTUS DILLMANN,204,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['ETHIOPIC VERSION', 'HEBREW BOOK JUBILEES', 'LITTLE GENESIS', '1895', 'Ethiopic Book', 'RH Charles', 'Judeo-Christian', 'religious text', ""Ge'ez language"", 'Black Jews', 'Christians', 'writers', 'Ethiopian-Hebrews', 'Hebrew', 'Greek', 'Ethiopian Orthodox Tewahedo', 'Book of Divisions', 'Kufale']"
Rise & Fall of ISIS:  End Game Battle for the Temple Mount and Final Countdown to Armageddon,Nick Brown,Paperback,USD 12.00,"A must-have for anyone who wants to better understand the conflict in the Middle East since Jewish People came to Israel. The book starts with the rise and fall of ISIS and how the major source of their recruitment was their End Time ideology. 

The End of days battle is centered round the Temple Mount. Temple Mount is the most sacred and contested holy estate where Solomon and Herod built their Temples, where the Dome of the Rock now stands -- and where both Jewish extremists and millions of Christian fundamentalists expect the Third Temple to be built soon. This volatile situation has created troubled relationships among Arabs and Jews in Israel. Any attempt to spark the End by clearing the ground for the Temple, therefore, can ignite gruesome holy wars leading towards Armageddon. 

The events in the book are so fast and logically interwoven, the reader is just blown away by the subject. Grab this book NOW to learn about the future history of mankind.",2018,English,9781387498215,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Nick Brown,184,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Fall of ISIS', 'Temple Mount', 'End Times', 'End of Days', 'Prophecy', 'End Times Prophecy', 'Second Coming', 'Armageddon', 'Anti-Christ', 'Dajjal']"
La terre promise [French],Paul Bourget,Paperback,USD 9.58,"La Terre Promise is an oratorio in three parts by Jules Massenet to a French libretto by the composer based on the French translation of the Vulgate by Silvestre de Sacy. It was first performed at L'église Saint-Eustache in Paris on March 15, 1900, with Jean Noté, baritone, Lydia Nervil, soprano, and the orchestra and chorus totaling 400, directed by a former pupil of Massenet, Eugène d'Harcourt. The work was preceded at its first performance by the French premiere of Das Liebesmahl der Apostel (given as La dernière Cène des Apôtres).The oratorio's three parts relate scenes from the Old Testament. The first part (Moab - L'Alliance) depicts Moses' pact with God: that the Jews will obey His law if He allows them passage across the river Jordan to the promised land.
Excerpt from: https://en.wikipedia.org/wiki/La_Terre_Promise

Hint: You can preview this book by clicking on ""Preview"" which is located under the cover of this book.",2016,French,N/A,Fiction,All Rights Reserved - Standard Copyright License,By (author): Paul Bourget,252,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['bourget', 'fiction', 'fr', 'litterature', 'paul', 'promise', 'terre']"
Miser Farebrother: A Novel (vol. 2 of 3),B. L. (Benjamin Leopold) Farjeon,Paperback,USD 8.01,"Hint: You can preview this book by clicking on ""Preview"" which is located under the cover of this book.

About the author:

Benjamin Leopold Farjeon (12 May 1838 – 23 July 1903) was a British novelist, playwright, printer and journalist. As an author, he was known for his huge output.Farjeon was born in London to Dinah Levy and Jacob Farjeon, Orthodox Jews. He was raised in Whitechapel and had no formal secular education. At fourteen, he entered the office of the Nonconformist, a Christian journal, to learn the printing trade. He broke away from the strict faith of his father and in 1854 immigrated to Australia. During the voyage he was moved from steerage to cabin class because he had produced some numbers of a ship newspaper, the Ocean Record.Farjeon worked as a gold miner in Victoria (Australia), started a newspaper, then went to New Zealand in 1861.
Excerpt from: https://en.wikipedia.org/wiki/Benjamin_Farjeon",2016,English,N/A,Fiction,All Rights Reserved - Standard Copyright License,By (author): B. L. (Benjamin Leopold) Farjeon,140,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['2', '3', 'b', 'benjamin', 'farebrother:', 'farjeon', 'fiction', 'l', 'leopold', 'miser', 'novel', 'vol']"
The Betrayal of John Fordham,B. L. (Benjamin Leopold) Farjeon,Paperback,USD 9.89,"Hint: You can preview this book by clicking on ""Preview"" which is located under the cover of this book.

About the author:

Benjamin Leopold Farjeon (12 May 1838 – 23 July 1903) was a British novelist, playwright, printer and journalist. As an author, he was known for his huge output.Farjeon was born in London to Dinah Levy and Jacob Farjeon, Orthodox Jews. He was raised in Whitechapel and had no formal secular education. At fourteen, he entered the office of the Nonconformist, a Christian journal, to learn the printing trade. He broke away from the strict faith of his father and in 1854 immigrated to Australia. During the voyage he was moved from steerage to cabin class because he had produced some numbers of a ship newspaper, the Ocean Record.Farjeon worked as a gold miner in Victoria (Australia), started a newspaper, then went to New Zealand in 1861.
Excerpt from: https://en.wikipedia.org/wiki/Benjamin_Farjeon",2016,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): B. L. (Benjamin Leopold) Farjeon,274,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['b', 'benjamin', 'betrayal', 'farjeon', 'fordham', 'john', 'l', 'leopold']"
Longing For Rest: Shabbat an Acid Test to Mankind,Ya'akov Anekwe,Ebook,USD 8.99,"Longing for Rest introduces you to the original worship of the ancient Israelites. It is intended basically to advice the Christendom, but it is also hoped that the Jews in Diaspora who have fallen away from their divine instructions might benefit by reading this eBook as well.
Longing for Rest, has been chosen to redirect readers to the true and correct day of worshiping the Creator of heaven and earth. It is remarkable that in the creation history, this day is so important that it received recognition in Gen 2:2-3.
The world of Christendom, by the decree of Emperor Constantine has changed the seventh day worship as ordained by El Elohe, to the first day worship of the sun god. “Let El Elohe be true, but every man a liar” (Romans 3:4). 
It is also meant to serve as a text for seminarians, schools and the academia, Church Leaders, businessmen and women who are serious students of the Set-Apart Book (Bible).",2013,English,9781300927891,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Ya'akov Anekwe,,,,,PDF,"['Longing For Rest', 'Shabbat an', 'Acid Test', 'Shabbat Laws', 'Shabbat', 'Shabbat sign', 'of everlasting', 'covenant', 'Longing', 'Rest day', 'Laws of Yahweh']"
Torah Portions - B’reishith  (Paperback),Our Torah Studies,Paperback,USD 24.00,"Torah Portions are designed to help you read and learn the Word of God in a systematic manner. With scheduled reading times, Torah Portions will help you feel closer to the Land of Israel. All over the world, people are reading Torah Portions in a variety of ways. It is believed that at least 80%% of the New Testament is based upon the Old Testament. The harmony of the two testaments is incredibly accurate. These individual Torah Portions include… 1)The Modeh Ani – Which is ""I give thanks,"" the first words of the prayer Jewish prayer that observant Jews recite daily upon waking, while still in bed. 2)The Shemoneh Esrei Amidah also called the Standing Prayer recited 3 times per day in most Jewish Synagogues. It includes 18/19 Blessings that you CAN apply to your personal prayer life. 3)Torah Portions Reading List.  This paperback option gives you the ability to make notations that can be reviewed from year to year.",2012,English,9781300318309,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Our Torah Studies,48,Saddle Stitch,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,"['torah portion', 'genesis', 'prophets', 'modeh ani', 'prayer', 'Shemoneh Esrei Amidah', ""B'reishith""]"
