Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords 
FORGOTTEN ROYALTY,Perry Peña,Ebook,USD 9.00,"This is the genealogy of one crypto Jew which reaches back and includes with it most of the families of New Mexico.
     The genealogy is shared with the intent that most of Hispanic New Mexico will see it, study their own genealogies and compare with this one to see that it is a genealogy shared by most of New Mexico's Hispanic and now Catholic families. 
     The Genealogy demonstrates clearly that while most of New Mexico's Hispanics are now Catholic that this was merely a mask and nothing more to their ancestors who colonized New Mexico. The ancestry needs to be honored as the Hispanic Catholics of New Mexico owe their very lives to the actions of these brave ancestor Jews of theirs.",2011,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Perry Pena,,,,,PDF,"['GENEALOGY', 'NEW MEXICO', 'JEWS', 'HOLIDAYS', 'CRYPTO JEWS', 'STANLEY HORDES', 'CARY HERZ', 'VAMPIRES', 'PIRATES']"
The Trinity Manifesto,Nigel Shindler,Hardcover,USD 45.52,"The central message ""Love Is the Nature of Existence"" has to convey is an explanation as to what a Jew is, and why The Lord decided to create “The Chosen People”.
  The purpose of life as The Bible teaches us, and all other Holy Scriptures, is to join, yoke, become one with God.
  In order for Man to accomplish this feat The Lord chose certain members of the human population to help others cultivate their minds, and by doing so have the same knowledge Adam and Eve had while still in the Garden of Eden.
  The best of best, no matter the discipline, have always been Jews throughout recorded history.  The Jews do not solely belong among the Semitic people that wandered for centuries throughout the Middle East; they do, however, represent the highest concentration considering the overall size of the population that has existed over time.  The Jews, without exception, emerge solely from the Aryan race, the migration of which I describe in Volume II of, “Love Is the Nature of Existence”.",2014,English,9781312328778,Personal Growth,All Rights Reserved - Standard Copyright License,By (author): Nigel Shindler,374,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Love peace', 'practise understanding']"
The Trinity Manifesto,Nigel Shindler,Hardcover,USD 45.52,"The central message ""Love Is the Nature of Existence"" has to convey is an explanation as to what a Jew is, and why The Lord decided to create “The Chosen People”.
  The purpose of life as The Bible teaches us, and all other Holy Scriptures, is to join, yoke, become one with God.
  In order for Man to accomplish this feat The Lord chose certain members of the human population to help others cultivate their minds, and by doing so have the same knowledge Adam and Eve had while still in the Garden of Eden.
  The best of best, no matter the discipline, have always been Jews throughout recorded history.  The Jews do not solely belong among the Semitic people that wandered for centuries throughout the Middle East; they do, however, represent the highest concentration considering the overall size of the population that has existed over time.  The Jews, without exception, emerge solely from the Aryan race, the migration of which I describe in Volume II of, “Love Is the Nature of Existence”.",2014,English,9781312289864,Personal Growth,All Rights Reserved - Standard Copyright License,By (author): Nigel Shindler,374,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Love peace', 'practise understanding']"
Museum of Evil,Gregory Bendetowies,Ebook,USD 14.99,"I live with eleven people in a glass enclosed room in the “Museum of Evil” in Berlin, Germany. We are the only Jewish people alive. We are kept here for their propaganda depicting the Jews as Evil.",2011,English,N/A,Fiction,All Rights Reserved - Standard Copyright License,By (author): Gregory Bendetowies,,,,,PDF,"['Jews', 'History', 'Jewish', 'Nazi', 'Museum', 'Germany', 'survival', 'hope', 'love']"
DANIK! A Holocaust Survivor,Ross R. Olney,Paperback,USD 25.00,"David Zaid survived the extermination of Jews in Poland ordered by Adolph Hitler. He went on to become a hero in the Israeli army. His voice is now stilled, but with this book he continues to speak out against the holocaust-deniers who insist that the atrocities, the death camps, the routine executions of Jews, never really happened. Zaid lived through it, and knows the truth. And if he ever questioned his own courage while hiding from the murderous Nazis and the equally murderous Polish farmers in a Polish forest, the questions were answered in the Israeli wars when he fought in hand to hand combat for his new homeland. He survived once again, and saw his final dream come true when he, his wife and two sons, became citizens in the United States, his final and most beloved homeland.",2012,English,9781300186588,History,All Rights Reserved - Standard Copyright License,By (author): Ross R. Olney,450,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['holocaust', 'Ross R. Olney', 'WW Two', 'prison camps', 'death camps', 'Hitler', 'Nazi', 'Jews', 'Israel']"
FORGOTTEN ROYALTY,Perry Peña,Paperback,USD 19.97,"This is the genealogy of one crypto Jew which reaches back and includes with it most of the families of New Mexico.
     The genealogy is shared with the intent that most of Hispanic New Mexico will see it, study their own genealogies and compare with this one to see that it is a genealogy shared by most of New Mexico's Hispanic and now Catholic families. 
     The Genealogy demonstrates clearly that while most of New Mexico's Hispanics are now Catholic that this was merely a mask and nothing more to their ancestors who colonized New Mexico. The ancestry needs to be honored as the Hispanic Catholics of New Mexico owe their very lives to the actions of these brave ancestor Jews of theirs.",2011,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Perry Pena,181,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['GENEALOGY', 'NEW MEXICO', 'JEWS', 'HOLIDAYS', 'CRYPTO JEWS', 'STANLEY HORDES', 'CARY HERZ', 'VAMPIRES', 'PIRATES']"
"Stepping into the Light: You're a Christian, what now?",Diane L. Harris,Paperback,USD 19.28,"A former atheist who grew up in the Episcopal Church while her brothers were raised as Jews, Diane L. Harris had a born-again experience at the age of 44 and heard God calling her to ministry a few months later. Minister Harris shares her story with clarity and humor in this thoughtfully planned guidebook aimed at new adult Christians but useful to any soul focused on spiritual expansion.",2008,English,9781435718944,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Diane L. Harris,257,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['new Christian', 'discipleship', 'christianity', 'Christ', 'bible', 'biblical', 'baptism', 'baptist', 'healing', 'atheist', 'atheism', 'judaism', 'jewish', 'episcopal', 'interracial', 'interfaith', 'faith', 'dual-faith', 'minister', 'rebirth', 'born again', 'struggle']"
The God of the Old Testament  Is Not the  Father of Jesus,Rodolfo Martin Vitangcol,Ebook,USD 9.99,"There is only ONE TRUE GOD—no other.  Unfortunately, that one true God is not the “Yahweh of the Jews” but the “Father of Jesus.”

The “Yahweh of the Jews as revealed by Moses to the Israelites” and the “God that Jesus revealed to the world and whom Jesus called his Father” are not one and the same as the whole Christian world had maliciously taken them to be.  

Who is the FATHER OF JESUS?

The Father of Jesus is the one true God who revealed himself through his Son Jesus.  Because of his perfect likeness and oneness with Jesus, God practically sent himself into the world through his Son Jesus.  Nobody knows our Father in heaven except his Son Jesus.  

The truth is: If not for the coming of his Son Jesus, we would never have known about the “One True God” and the “One God sent” to save the world—
Jesus Christ.

Behold in this book the “40 BIBLICAL PROOFS” that the Yahweh of the Jews is not the Father of Jesus.

Amen.",2019,English,9780359352050,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Rodolfo Martin Vitangcol,,,,,PDF,['Christianity Destroyed Jesus']
Harvest Time,Dan Blanchfield,Ebook,USD 0.00,"What if man is not God's chosen species, but is nothing more than one part of a celestial food chain in the universe?  Harvest Time chronicles the life's work of a 19th century rogue priest, Father Gregor Pryor, who discovers the truth behind all the religions; they have arisen from the same source, that is, multiple visitations from alien beings over thousands of years who come to earth to harvest the crop they have cultivated...mankind...and documents it in his book Harvest Time!  The little children who are left behind these harvests only vaguely remember these visits, and, thus, the idea of ""religion"" is born in their minds.  Father Pryor enlists a brilliant young protégé, Nikolai Petrovich, a Russian Jew, to carry on his work and warn mankind about the next harvest, as the Catholic Church will stop at nothing to prevent Father Pryor's seminal work, Harvest Time, from being known as it threatens its very existence.  It is up to Nikolai to warn the world of the coming harvest!",2015,English,9781329787049,Fiction,All Rights Reserved - Standard Copyright License,By (author): Dan Blanchfield,,,,,EPUB,"['Religion', 'Aliens', 'Catholic Church', 'Russian Jews', 'Harvest']"
ZECHARIAH AND THE TEMPLE OF THE LORD,David M Pearce,Paperback,USD 4.90,"Zechariah the prophet lived around 520 BC, after the Jews returned from exile in Babylon. Together with Haggai, he encouraged them to complete the re-building of the ruined Temple in Jerusalem. This verse by verse exposition highlights the problems they faced and overcame with God's help. It also picks out his amazing prophecies of the coming of Christ as the saviour.",2015,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): David M Pearce,84,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Zechariah', 'temple', 'exile', 'Jerusalem', 'prophet', 'Haggai', 'rebuild Temple']"
Blood Orange Blossom,Paul Richard Sully,Hardcover,USD 32.48,"From the Holocaust was built a resolve that the Jews would establish their Homeland in what was then known as Palestine.
Originally held under the Ottoman Empire and promised to them through the Balfour Declaration, the Jews fought with cunning, terror and diplomacy to rid Palestine of the British Mandate. Blood Orange Blossom, fourth book in the Tree of Faith series, traces the conflict through the eyes of five characters, each playing a unique and linked role in Israel’s creation. In biblical dimension, they represent Daniel, Abraham and Noah and each character shares a very different destiny within the actual struggle of this monumental event.",2019,English,9780244804572,Fiction,All Rights Reserved - Standard Copyright License,By (author): Paul Richard Sully,316,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Rudolf Kastner', 'Abba Eban', 'Irgun']"
A Boy from Amsterdam: An Autobiography,Teade Sysling,Ebook,USD 5.00,"This unique perspective on the Holocaust is the story of a Dutch boy who grew up during the Nazi occupation of the Netherlands. During the war, he scrounged for food to help his family, and the 8 Jews they were hiding, stay alive.",2012,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Teade Sysling,,,,,EPUB,"['WWII', 'Nazi occupation', 'Holland', 'the Netherlands']"
Shepherd Kings   the Restoring of Spain's Ancient History on the Basques,Perry Peña,Paperback,USD 17.97,"Shepherd Kings is the history book which ties together and corroborates the ancient histories of ancient Egypt, the Jews, the Greeks, the Romans, the Irish in the light of modern DNA discoveries and other scientific studies showing the Basques along with the Spartans and Trojans to be an ancient branch of the tribe of Judah.
This is the basic easy read edition.",2007,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Perry Pena,271,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Basques', 'ancient Jews', 'pre-crypto-Jews', 'Egypt', 'Crete', 'Milesians', 'Trojans', 'Spartans', 'Hebrews', 'catholic', 'judaism', 'hollywood']"
Megillat Hay'shuah - The Salvation Scroll Epub,Marc Michaels,Ebook,USD 3.80,"... and God put into Shalom’s mouth a cunning answer ... At the bidding of the Nazis, the Mufti of Jerusalem arrives in Yemen to convince the king to destroy all of the Jews there. Rabbi Shalom the Jew sits at the side of the king and awaits a miracle. The Megillat HaY’shuah - the Salvation Scroll of the Yemenite Jews tells a parable of the dangers of the time to the Jewish population of Yemen echoing the dangers faced in Persia at the time of Esther and Mordechai. This translation and commentary brings to life a little-known text.",2015,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Marc Michaels,,,,,EPUB,"['yemen', 'yemenite', 'salvation', 'scroll', 'jewish', 'jews', 'judaism', 'God', 'shalom']"
The Jewish Nation of Mongols,Boris Zubry,Hardcover,USD 45.95,"The Mongol nation that used to rule a half of the world for about five hundred years is on decline for the last couple hundred years. The old prophecy states that, when everything is just right, someone of the different blood would come and save the nation from the financial disaster. A new archeological dig of the burial from the time when Mongols roamed the world presents the last resting place of Batu Khan - the conqueror of Eastern Europe. There is a diary written by Batu Khan that hints that Khazars - the Jews of the Central Asia were completely integrated into Mongol society. More, many, including Batu Khan himself, were married to the Jews for generations, thus they were Jews more often than the Mongols. Mongols could be another lost Jewish tribe and the nation was - The Jewish Nation of Mongols. Now, the Mongols have to fulfill the prophecy and find the person that would save the country. That takes them to the Jewish community of Williamsburg, NY.",2019,English,9780359684052,Fiction,All Rights Reserved - Standard Copyright License,By (author): Boris Zubry,392,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Mongols', 'Khazars', 'Jews', 'Russia', 'Eastern Europe', 'Batu Khan', 'Subutai']"
Timeline of Antisemitism,Rebecca Sherman,Paperback,USD 27.10,"This timeline of antisemitism chronicles
the facts of antisemitism, hostile actions or
discrimination against Jews as a religious or
ethnic group. It includes events in the history
of antisemitic thought, actions taken to
combat or relieve the effects of antisemitism,
and events that affected the prevalence of
antisemitism in later years. The history of
antisemitism can be traced from ancient
times to the present day. In order to understand antisemitism today, we must
understand it in the greater context of history. It is
critical to acknowledge the roots of antisemitism
and the repetitive patterns in history that led to the
continuous persecution of Jews.
We must remember history in order to prevent the
atrocities of the past from happening again.",2018,English,9781387774845,History,All Rights Reserved - Standard Copyright License,By (author): Rebecca Sherman,462,Paperback,Black & White,Crown Quarto (7.44 x 9.68 in / 189 x 246 mm),,[]
The Religion of Babylonia and Assyria,Theophilus Pinches,Paperback,USD 10.00,"Pinches presents a basic introduction to the ancient religions, gods, and  goddesses of Babylonia and Assyria. Some of these ancient deities such as Enki and Lilith has survived among the Jews and the Eberkeit to this very day.",2014,English,9781312489141,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Theophilus Pinches,81,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Enki', 'Babylonia', 'Jaredites', 'Lilith', 'Judiaism', 'Eberkeit']"
Evrejskaja trilogija hard,Leonid Rokhline,Paperback,USD 18.98,"Jeta kniga — ne jetnograficheskoe issledovanie, hotja v osnove lezhit istoricheskij material, obshhaja biblejskaja kanva i imena. Jeto belletristika. I avtor staralsja pokazat' sovremenniku, na primere blizkogo emu jetnosa, chto byt, tradicii, chuvstva i zhelanija Homo Sapiens prakticheski ne menjajutsja vo vremeni i v prostranstve.",2017,Russian,9780244036225,History,All Rights Reserved - Standard Copyright License,By (author): Leonid Rokhline,230,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Leonid Rokhline', 'jews', 'Thora', 'History']"
The Trinity Manifesto,Nigel Shindler,Hardcover,USD 45.46,"The central message ""Love Is the Nature of Existence"" has to convey is an explanation as to what a Jew is, and why The Lord decided to create “The Chosen People”.
  The purpose of life as The Bible teaches us, and all other Holy Scriptures, is to join, yoke, become one with God.
  In order for Man to accomplish this feat The Lord chose certain members of the human population to help others cultivate their minds, and by doing so have the same knowledge Adam and Eve had while still in the Garden of Eden.
  The best of best, no matter the discipline, have always been Jews throughout recorded history.  The Jews do not solely belong among the Semitic people that wandered for centuries throughout the Middle East; they do, however, represent the highest concentration considering the overall size of the population that has existed over time.  The Jews, without exception, emerge solely from the Aryan race, the migration of which I describe in Volume II of, “Love Is the Nature of Existence”.",2014,English,9781312329270,Personal Growth,All Rights Reserved - Standard Copyright License,By (author): Nigel Shindler,381,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Love peace', 'practise understanding']"
The Trinity Manifesto,Nigel Shindler,Hardcover,USD 45.46,"The central message ""Love Is the Nature of Existence"" has to convey is an explanation as to what a Jew is, and why The Lord decided to create “The Chosen People”.
  The purpose of life as The Bible teaches us, and all other Holy Scriptures, is to join, yoke, become one with God.
  In order for Man to accomplish this feat The Lord chose certain members of the human population to help others cultivate their minds, and by doing so have the same knowledge Adam and Eve had while still in the Garden of Eden.
  The best of best, no matter the discipline, have always been Jews throughout recorded history.  The Jews do not solely belong among the Semitic people that wandered for centuries throughout the Middle East; they do, however, represent the highest concentration considering the overall size of the population that has existed over time.  The Jews, without exception, emerge solely from the Aryan race, the migration of which I describe in Volume II of, “Love Is the Nature of Existence”.",2014,English,9781312290020,Personal Growth,All Rights Reserved - Standard Copyright License,By (author): Nigel Shindler,381,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Love peace', 'practise understanding']"
Ibadat aur Insaf (Worship and Justice),Aqaf Shahzad,Ebook,USD 2.58,"The book “Worship and Justice” is in the series of publication project “Doing theology, reading theology” named as “Option for the Poor”. Theological reprints are theological articles appeared in world class theological magazines and are being translated into Urdu and published by MAP. There will be 48 volumes of series of theological reprints. This volume consists of three articles and tell us about the biblical justice and Christian liturgy and also about the Jews’ way of living and unity in family life. It is also telling us faithfulness of Jews’ with God. This book will remind us how we can live as a family of God and find their spiritual way of life.",2021,English,9781716114595,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,Translated by: Aqaf Shahzad,,,,,EPUB,"[""Biblical Justice and Christian liturgy, Paul's Theory of Jesus' Last Supper, Post modernity and the popularity of spirituality, The Trade of Spirituality, Commercialization of Spirituality""]"
Альманах 1/2022,Dr Evgueni Berkovitch,Paperback,USD 23.54,"Альманах «Еврейская Старина» содержит эксклюзивные работы авторов сетевого портала «Заметки по еврейской истории» (http://berkovich-zametki.com). Статьи посвящены разнообразным вопросам еврейской истории, традиции, культуры. Старина - категория не времени, а качества: всё станет когда-нибудь стариной, если не умрет раньше.",2022,Russian,9781471718236,History,All Rights Reserved - Standard Copyright License,Editor-in-chief: Dr Evgueni Berkovitch,447,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['starina', 'jews', 'juden', 'thora', 'israel']"
POL 300 WEEK 4 DQ LATEST-STRAYER,Jon Snow,Paperback,USD 8.06,"POL 300 WEEK 4 DQ LATEST-STRAYER

Visit Below Link, To Download This Course:

https://www.tutorialsservice.net/product/pol-300-week-4-dq-latest-strayer/

Or 
Email us on
[email protected]
POL 300 Week 4 DQ Latest-Strayer
POL300
POL 300 Week 4 DQ Latest-Strayer
“The Israeli-Palestinian Conflict” Please respond to the following:
For thousands of years, up to the 20th century, the land of Palestine was a homeland for Christians, Jews, and Muslims. In the 20th century, the British got involved in the Middle East in several ways, culminating in the attempt to make Palestine a “Homeland” for European Jews to go to. Based on the e-Activity and Roskin Chapter 8 for this week:",2018,English,N/A,Education & Language,All Rights Reserved - Standard Copyright License,By (author): Jon Snow,2,Saddle Stitch,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['INTERNATIONAL STUDY', 'COMPUTER SCiENCE', 'ENGINEERING & TECHNOLOGY', 'Accounting', 'Business']"
Альманах 4/2021,Dr Evgueni Berkovitch,Paperback,USD 22.66,"Альманах «Еврейская Старина» содержит эксклюзивные работы авторов сетевого портала «Заметки по еврейской истории» (http://berkovich-zametki.com). Статьи посвящены разнообразным вопросам еврейской истории, традиции, культуры. Старина - категория не времени, а качества: всё станет когда-нибудь стариной, если не умрет раньше.",2022,Russian,9781716030420,History,All Rights Reserved - Standard Copyright License,Editor-in-chief: Dr Evgueni Berkovitch,405,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['starina', 'jews', 'juden', 'thora', 'israel']"
The Belaya Tserkov Barber and His Righteous Wife,Irene Bowen,Hardcover,USD 37.00,"Heinach Goloborodko (Henry Golb) was a Jewish barber-healer born in Czarist Russia (now Ukraine) around 1862.  Henry, known as philosophical and agnostic, married Esther Schmulevitz (from present-day Lithuania) and they immigrated to Chicago with their children in 1905.  There Esther was known for her righteous work for those Jews even less fortunate than her family.  This book traces Henry’s family back to its likely roots in 1700 in P’yatyhory.  It tells how our ancestors struggled in Russia and how they built new lives starting out in the “Jewish ghetto” of Chicago’s Maxwell Street.  We follow the lives of their descendants, as well as those of Esther’s two sisters, to the current time.  The book also weaves in the experiences of five of Henry and Esther’s descendants on a 2018 trip to their ancestral towns.",2021,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,"By (author): Irene Bowen, Other primary creator: Michael Potter, Other primary creator: Larry Goldberg",520,Hardcover,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,"['genealogy', 'family history', 'Russian Jews']"
"The ""WORD""",Brenice FireAngel,Paperback,USD 6.93,Are you seeking a different kind of journey to history?,2010,English,N/A,Education & Language,All Rights Reserved - Standard Copyright License,By (author): Brenice FireAngel,121,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Israel', 'Word', 'History', 'Creation', 'Jews']"
Did Only the High Priest Use the Tetragram in Jesus' Time?,Michael Adi Nachman,Paperback,USD 24.00,"With the coming restoration of all things, one thing which will be corrected is the following: Jehovah: The true pronunciation of this name by which God was known to the Hebrews, has been entirely lost, the Jews themselves scrupulously avoiding every mention of it. And substituting in its place one of the other words with whose vowel points it happens to be written…According to Jewish tradition it was pronounced but once a year by the high priest on the day of atonement when he enters the holy of holies; but on this point there is some doubt.
The name Yahuah (YHWH) was used by early Jews and Notzrim daily. This book shows that even in the circles of the Sages it was ordained for ordinary people to share the blessing of saying the name of God according to its letter.",2015,English,9781329571426,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Michael Adi Nachman,62,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Mishnah', 'tetragram', 'tetragramamton', 'judaism', 'yom kippur', 'Jesus', 'shem hameforash', 'second temple', 'high priest']"
"Levensons, Merchants of Irkutsk, and Their Descendants",Елена Чернохвостова-Левенсон,Hardcover,USD 26.40,"This history of a mercantile family from Irkutsk begins in mid-19th century in eastern Siberia, near the world-famous Lake Baikal. It continues two centuries later, with sixth- and seventh-generation descendants living in the United States, Israel, and France.",2015,Russian,9781312785687,History,All Rights Reserved - Standard Copyright License,By (author): Elena Chernokhvostova-Levenson,160,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Russia', 'Russian Jews', 'Siberia', 'merchants', 'Irkutsk', 'history', 'Jewish history']"
The Israelis Song Book,Piano Esperanto,Ebook,USD 16.99,"Israeli songs are the soundtrack of an old nation, reborn. They are melodic, beautiful and inspiring, combining motifs from many countries where Jews have dwelled over the years. Here you will find fifty Israeli songs, arranged and scripted for PENTA(TM).",2019,English,N/A,Entertainment,All Rights Reserved - Standard Copyright License,By (author): Piano Esperanto,,,,,PDF,"['Piano', 'Music', 'Learning', 'Playing', 'Israel']"
Suzie,Ann Chadwick,Paperback,USD 13.29,"Suzie Spitzer is five years old and alone. Her parents, Austrian Jews, have put her on a train from Prague to London to escape Nazi persecution.

Speaking no English, she joins the Chadwick family in Cambridge. 

A new life, a new country and a new sister, Ann.

This family story travels through war-time Britain, Argentina, South Africa and the Fiji Islands. 
 
Tragedy strikes the family but the next generation has learnt how to open their homes and their hearts – Suzie changed their lives forever.",2011,English,9781447746966,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Ann Chadwick,97,Paperback,Black & White,Royal (6.14 x 9.21 in / 156 x 234 mm),,"['Refugee', 'Nicholas Winton', 'Prague', 'Jewish']"
Who Is Our Savior?,Rahali Lawali,Ebook,USD 2.99,"The word Ahliel Kitab has been repeatedly mentioned in various places inside the glorious Koran. In some specific places the word disintegrated into two sects: Yahudu and Nasara. The former is popularly known as the Jewish. They have important role to play   before the onset of the Judgement Day as prophesized by the last Prophet Muhammad (May Allah bless him and give him peace). Two prominent hadiths in respect to the above subject matter were translated in the following ways:
Abu Huraira reported Allah's Messenger (may peace be upon him) as saying: The last hour would not come unless the Muslims will fight against the Jews and the Muslims would kill them until the Jews would hide themselves behind a stone or a tree and a stone or a tree would say: Muslim, or the servant of Allah, there is a Jew behind me; come and kill him; but the tree Gharqad would not say, for it is the tree of the Jews. 
Source: Sahih Muslim, Book 041, Number 6985",2019,English,9780359889310,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Rahali Lawali,,,,,EPUB,"['SAVIOUR', 'CHRIST', 'MAHDI']"
The Trinity Manifesto,Nigel Shindler,Hardcover,USD 45.46,"The central message ""Love Is the Nature of Existence"" has to convey is an explanation as to what a Jew is, and why The Lord decided to create “The Chosen People”.
  The purpose of life as The Bible teaches us, and all other Holy Scriptures, is to join, yoke, become one with God.
  In order for Man to accomplish this feat The Lord chose certain members of the human population to help others cultivate their minds, and by doing so have the same knowledge Adam and Eve had while still in the Garden of Eden.
  The best of best, no matter the discipline, have always been Jews throughout recorded history.  The Jews do not solely belong among the Semitic people that wandered for centuries throughout the Middle East; they do, however, represent the highest concentration considering the overall size of the population that has existed over time.  The Jews, without exception, emerge solely from the Aryan race, the migration of which I describe in Volume II of, “Love Is the Nature of Existence”.",2014,English,9781312328976,Personal Growth,All Rights Reserved - Standard Copyright License,By (author): Nigel Shindler,381,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Love peace', 'practise understanding']"
The Trinity Manifesto,Nigel Shindler,Hardcover,USD 35.37,"The central message ""Love Is the Nature of Existence"" has to convey is an explanation as to what a Jew is, and why The Lord decided to create “The Chosen People”.
  The purpose of life as The Bible teaches us, and all other Holy Scriptures, is to join, yoke, become one with God.
  In order for Man to accomplish this feat The Lord chose certain members of the human population to help others cultivate their minds, and by doing so have the same knowledge Adam and Eve had while still in the Garden of Eden.
  The best of best, no matter the discipline, have always been Jews throughout recorded history.  The Jews do not solely belong among the Semitic people that wandered for centuries throughout the Middle East; they do, however, represent the highest concentration considering the overall size of the population that has existed over time.  The Jews, without exception, emerge solely from the Aryan race, the migration of which I describe in Volume II of, “Love Is the Nature of Existence”.",2014,English,9781312289802,Personal Growth,All Rights Reserved - Standard Copyright License,By (author): Nigel Shindler,374,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Love peace', 'practise understanding']"
My Paperback Book,Yoselin Juarez,Paperback,USD 8.30,"This story is about how Jews suffered in the holocaust. We made this story to demonstrate or encourage people to prevent future genocides. We included several interesting stories like informing about concentration camps, Anne Frank, and the German soldiers. this story is really interesting and informative.",2014,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,"By (author): Yoselin Juarez, By (author): Katelyn Valdovinos, By (author): Rafael Moreno",10,Saddle Stitch,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Holocaust', 'Jews', 'Anne Frank', 'German soldiers', 'Concentration camps']"
A Boy in Hiding,Stan Rubens,Paperback,USD 14.95,"A Boy in Hiding: Surviving the Nazis is a poignant, true-survival story of a young boy who hid for four years underground in Holland during World War II. A Boy in Hiding sheds a light on the difficult road that lay ahead for Anne Frank—had she survived.  This book is written from the point of view of an eight-year-old boy growing up too fast during the five years of the war. Now, sixty years later, Rubens gives a voice to the young boy, who—despite the hard times and difficulties he encountered, never lost his positive view on life.",2016,English,9781609620899,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Stan Rubens,142,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Amsterdam', 'World War II', 'Jews', 'Holocaust']"
Альманах 1/2016,Evgueni Berkovitch,Paperback,USD 22.88,"Эксклюзивные статьи по еврейской истории, традиции, культуре. Материалы сетевого портала ""Заметки по еврейской истории"" berkovich-zametki.com",2020,Russian,N/A,History,All Rights Reserved - Standard Copyright License,Editor-in-chief: Evgueni Berkovitch,442,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['starina', 'berkovich', 'starina', 'evrei', 'jews']"
An Overview of the Old Testament,Dennis Dinger,Paperback,USD 29.48,"This overview introduces the topics in each Old Testament book in concise form.  The goal is to help each student of the Word gain a motivating interest to study the Old Testament.		
	Why?  . . . because the Old Testament is packed with detailed information about the Lord Jesus Christ and His interactions with mankind.  Anyone who ignores the Old Testament today misses out on all the wonderful details God has provided to perfect our understanding!",2015,English,9781329066120,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Dennis Dinger,408,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Overview', 'History', 'Jews', ""God's Interactions"", 'Old Testament Studies']"
